Couqley Gemayzeh,,,,,,,,,,,,,,,
Complete Report,,,,,,,,,,,,,,,
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 1 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Branch: Couqley Gemayzeh,,,,,,,,,,,,,,,
Division: Alcoholic Beverages,,,,,,,,,,,,,,,
Group: Apero,,,,,,,,,,,,,,,
Grilled Shrimp Platter,13.00,433.33,,0.00,0.00,,0.00,0.00,0.00,0.00,13.00,433.33,,,4.30
Moules Frites,52.00,"1,873.87",,0.00,0.00,,0.00,0.00,0.00,0.00,52.00,"1,873.87",,,18.58
Pave De Saumon,29.00,888.30,,0.00,0.00,,0.00,0.00,0.00,0.00,29.00,888.30,,,8.81
Penne Arrabbiata,20.00,216.22,,0.00,0.00,,0.00,0.00,0.00,0.00,20.00,216.22,,,2.14
Poulet Frites,134.00,"2,336.53",,0.00,0.00,,0.00,0.00,0.00,0.00,134.00,"2,336.53",,,23.16
Sea Bass En Papillote,40.00,"1,189.19",,0.00,0.00,,0.00,0.00,0.00,0.00,40.00,"1,189.19",,,11.79
Shrimp Roll,24.00,389.18,,0.00,0.00,,0.00,0.00,0.00,0.00,24.00,389.18,,,3.86
Tagliatelle Au Poulet,35.00,614.88,,0.00,0.00,,0.00,0.00,0.00,0.00,35.00,614.88,,,6.10
Plats Principaux,426.00,"10,087.45",,0.00,0.00,,0.00,0.00,0.00,0.00,426.00,"10,087.45",,,11.99
Group: Salades,,,,,,,,,,,,,,,
Artichaut Salad,55.00,743.27,,0.00,0.00,,0.00,0.00,0.00,0.00,55.00,743.27,,,15.85
Caesar Salad,37.00,400.01,,0.00,0.00,,0.00,0.00,0.00,0.00,37.00,400.01,,,8.53
Farmers Market,44.00,594.61,,0.00,0.00,,0.00,0.00,0.00,0.00,44.00,594.61,,,12.68
Grilled Calamar Salad,55.00,842.33,,0.00,0.00,,0.00,0.00,0.00,0.00,55.00,842.33,,,17.97
Salade De Chevre Chaud,117.00,"1,475.72",,0.00,0.00,,0.00,0.00,0.00,0.00,117.00,"1,475.72",,,31.48
Salade Endives Roquefort,39.00,632.43,,0.00,0.00,,0.00,0.00,0.00,0.00,39.00,632.43,,,13.49
Salades,347.00,"4,688.35",,0.00,0.00,,0.00,0.00,0.00,0.00,347.00,"4,688.35",,,5.28
Group: Side Orders,,,,,,,,,,,,,,,
Baguette Brown,351.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,351.00,0.00,,,0.00
Bol De Riz,6.00,32.43,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,32.43,,,1.61
Bread And Butter,34.00,91.90,,0.00,0.00,,0.00,0.00,0.00,0.00,34.00,91.90,,,4.57
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 10 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Butter,16.75,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,16.75,0.00,,,0.00
Epinard A La creme,29.00,209.00,,0.00,0.00,,0.00,0.00,0.00,0.00,29.00,209.00,,,10.40
Gratin Dauphinois,47.00,254.04,,0.00,0.00,,0.00,0.00,0.00,0.00,47.00,254.04,,,12.65
Grilled Portobello Mushrooms,73.00,591.88,,0.00,0.00,,0.00,0.00,0.00,0.00,73.00,591.88,,,29.46
